Temperature,Concentration (M),Unfolded fraction,Legend
49,0.001,0.00884851862764294,49ºC 
50.6666666666667,0.001,0.0318141477250664,50.7ºC 
52.3333333333333,0.001,0.106618757172865,52.3ºC 
54,0.001,0.299614069117988,54ºC 
49,0.001,0.00957217415783992,49ºC 
50.6666666666667,0.001,0.0333498306518897,50.7ºC 
52.3333333333333,0.001,0.108387086956816,52.3ºC 
54,0.001,0.297194173091973,54ºC 
49,5e-04,0.00558792675969879,49ºC 
50.6666666666667,5e-04,0.0257377579525409,50.7ºC 
52.3333333333333,5e-04,0.108926749143745,52.3ºC 
54,5e-04,0.357693333890422,54ºC 
49,5e-04,0.00544806335137187,49ºC 
50.6666666666667,5e-04,0.0250718629138295,50.7ºC 
52.3333333333333,5e-04,0.106211187211829,52.3ºC 
54,5e-04,0.350906340145989,54ºC 
49,0.00025,0.00412604162176599,49ºC 
50.6666666666667,0.00025,0.0247456044762324,50.7ºC 
52.3333333333333,0.00025,0.13234771763375,52.3ºC 
54,0.00025,0.473788508447202,54ºC 
49,0.00025,0.00431855782574269,49ºC 
50.6666666666667,0.00025,0.0254903970305252,50.7ºC 
52.3333333333333,0.00025,0.134102582155212,52.3ºC 
54,0.00025,0.473821191827096,54ºC 
49,0.000125,0.00674734946495835,49ºC 
50.6666666666667,0.000125,0.0448735567763001,50.7ºC 
52.3333333333333,0.000125,0.241594116748507,52.3ºC 
54,0.000125,0.679303701662555,54ºC 
49,0.000125,0.0065133355315344,49ºC 
50.6666666666667,0.000125,0.0437277988106953,50.7ºC 
52.3333333333333,0.000125,0.238187959199902,52.3ºC 
54,0.000125,0.677037737221802,54ºC 
49,6.25e-05,0.0124993810259718,49ºC 
50.6666666666667,6.25e-05,0.080247942677025,50.7ºC 
52.3333333333333,6.25e-05,0.370927762008424,52.3ºC 
54,6.25e-05,0.796252829141153,54ºC 
49,6.25e-05,0.0121094747249844,49ºC 
50.6666666666667,6.25e-05,0.0789935264160029,50.7ºC 
52.3333333333333,6.25e-05,0.370390332250294,52.3ºC 
54,6.25e-05,0.798250613067791,54ºC 
49,3.125e-05,0.0257672632796836,49ºC 
50.6666666666667,3.125e-05,0.147772604712461,50.7ºC 
52.3333333333333,3.125e-05,0.527205786388467,52.3ºC 
54,3.125e-05,0.875564069058772,54ºC 
49,3.125e-05,0.0247080626515466,49ºC 
50.6666666666667,3.125e-05,0.142585352340366,50.7ºC 
52.3333333333333,3.125e-05,0.517087206903284,52.3ºC 
54,3.125e-05,0.871216319526588,54ºC 
49,1.5625e-05,0.0407680350967433,49ºC 
50.6666666666667,1.5625e-05,0.206971459078232,50.7ºC 
52.3333333333333,1.5625e-05,0.611373823500874,52.3ºC 
54,1.5625e-05,0.903012692520571,54ºC 
49,1.5625e-05,0.0387577086181188,49ºC 
50.6666666666667,1.5625e-05,0.200293943364854,50.7ºC 
52.3333333333333,1.5625e-05,0.604266780547127,52.3ºC 
54,1.5625e-05,0.901374431834892,54ºC 
49,7.81e-06,0.0499518891813778,49ºC 
50.6666666666667,7.81e-06,0.234464665483404,50.7ºC 
52.3333333333333,7.81e-06,0.636652551451424,52.3ºC 
54,7.81e-06,0.907813773290057,54ºC 
49,7.81e-06,0.0456920172398551,49ºC 
50.6666666666667,7.81e-06,0.222496143167915,50.7ºC 
52.3333333333333,7.81e-06,0.62677241780978,52.3ºC 
54,7.81e-06,0.906356602053792,54ºC 
49,3.9e-06,0.0570222002002406,49ºC 
50.6666666666667,3.9e-06,0.257451039322264,50.7ºC 
52.3333333333333,3.9e-06,0.661323771882519,52.3ºC 
54,3.9e-06,0.915292994064679,54ºC 
49,3.9e-06,0.0511458971546101,49ºC 
50.6666666666667,3.9e-06,0.244381996373371,50.7ºC 
52.3333333333333,3.9e-06,0.655796197498706,52.3ºC 
54,3.9e-06,0.916824732911724,54ºC 
49,1.95e-06,0.0528453776825524,49ºC 
50.6666666666667,1.95e-06,0.244439382899578,50.7ºC 
52.3333333333333,1.95e-06,0.648193259920253,52.3ºC 
54,1.95e-06,0.911571979845518,54ºC 
49,1.95e-06,0.0462917252405576,49ºC 
50.6666666666667,1.95e-06,0.238416902869519,50.7ºC 
52.3333333333333,1.95e-06,0.664530107658036,52.3ºC 
54,1.95e-06,0.924817396083889,54ºC 
49,9.77e-07,0.0620191304516516,49ºC 
50.6666666666667,9.77e-07,0.269998686106675,50.7ºC 
52.3333333333333,9.77e-07,0.670267767037129,52.3ºC 
54,9.77e-07,0.916526339260554,54ºC 
49,9.77e-07,0.0545993431947874,49ºC 
50.6666666666667,9.77e-07,0.25327114248219,50.7ºC 
52.3333333333333,9.77e-07,0.661721106595129,52.3ºC 
54,9.77e-07,0.917233233892561,54ºC 
49,4.88e-07,0.0533252615930476,49ºC 
50.6666666666667,4.88e-07,0.246571399998146,50.7ºC 
52.3333333333333,4.88e-07,0.651254960906322,52.3ºC 
54,4.88e-07,0.912803645154315,54ºC 
49,4.88e-07,0.053724939721771,49ºC 
50.6666666666667,4.88e-07,0.25001287968881,50.7ºC 
52.3333333333333,4.88e-07,0.657785404415164,52.3ºC 
54,4.88e-07,0.91587484430402,54ºC 
